year,cznuts_cz,nuts,cznuts_en,school_type_cz,school_type_en,total_teachers,women,men,qualified,unqualified,school_cluster_code,men_percent,salary_women,salary_men,salary_total,salary_proportion_m_w,paygap_w_m
2020,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,39133.3,23604.4,15528.9,37298.8,1834.5,SS_K,0.41,45718.5,44175.1,45088.5,1.034938234,1543.4
2021,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,69534.9,58408,11126.9,63634.1,5900.8,ZS_SEN_2,0.15,48240.3,47750.1,48167.3,1.010265947,490.2
2021,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,33156.7,32938.4,218.3,31120.5,2036.2,PV_MS_PT,0.01,37964.6,39832.4,37976.1,0.953108525,-1867.8
2021,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,40193.3,24171,16022.3,38074.1,2119.2,SS_K,0.4,49556.9,47936.6,48908.6,1.033800895,1620.3
2022,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,71325.3,59744.7,11580.6,64850.8,6474.5,ZS_SEN_2,0.15,48353.6,48375.8,48356.9,0.999541093,-22.2
2022,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,33830.8,33598.4,232.4,31844.9,1985.9,PV_MS_PT,0.01,38229.4,40716,38244.2,0.938928185,-2486.6
2022,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,41305.8,24800.2,16505.6,38919.9,2385.9,SS_K,0.4,50115.4,48727.6,49557.1,1.028480779,1387.8
2023,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,73725.8,61710.5,12015.3,66516.4,7209.4,ZS_SEN_2,0.15,50061.8,50110.4,50069.1,0.999030141,-48.6
2023,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,34634.5,34399.5,235,32695.4,1939.1,PV_MS_PT,0.01,39500.5,41769.2,39515,0.945684859,-2268.7
2023,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,42488.4,25471,17017.4,39822.1,2666.3,SS_K,0.4,51836.2,50317.4,51225.4,1.030184389,1518.8
2024,Česká republika,CZ0,Czech Republic,Základní škola,Basic School,74982.4,62812.4,12170,67466.6,7515.8,ZS_SEN_2,0.15,50584.5,50678,50598.5,0.998155018,-93.5
2024,Česká republika,CZ0,Czech Republic,Mateřská škola,Nursery School,35068.8,34829.7,239.1,32997.2,2071.6,PV_MS_PT,0.01,40165.2,41541.3,40173.6,0.96687393,-1376.1
2024,Česká republika,CZ0,Czech Republic,Střední škola,Upper-Secondary School,43963.4,26390.4,17573,40992.1,2971.3,SS_K,0.4,52768.9,51248,52154.1,1.029677256,1520.9
2010,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,20235.1,16062.9,4172.2,17529.4,2705.7,ALL,0.2,23951.79,26142.07,24397.11,0.916216159,-2190.28
2011,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,20386.5,16221.7,4164.8,17700.9,2685.6,ALL,0.2,25401.63,27223.54,25761.94,0.933076134,-1821.9
2010,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6071.2,3800.4,2270.8,5322.9,748.3,SS_VOS_K,0.33,27445.61,27542.14,27477.54,0.996495271,-96.53
2010,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,5301.3,4554.4,746.9,4511.4,789.9,ZS_SEN_1,0.12,23978.09,23485.05,23916.8,1.02099356,493.03
2011,Středočeský kraj,CZ020,Central Bohemian Region,Základní škola,Basic School,6840.7,5934.8,905.9,5408.5,1432.2,ZS_SEN_1,0.12,25567.13,25504.42,25559.44,1.002458793,62.71
2011,Jihočeský kraj,CZ031,South Bohemian Region,Základní škola,Basic School,3600.1,2953.8,646.3,3346.3,253.8,ZS_SEN_1,0.17,25412.98,25703.82,25462.33,0.988684779,-290.84
2010,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,2648,2635.8,12.2,2301.5,346.5,MS,0,18831.86,,18821.46,,
2011,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,2818.4,2805.3,13.1,2391.2,427.2,MS,0,19970.44,,19949.73,,
2011,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5999.7,3774.9,2224.8,5289.6,710.1,SS_VOS_K,0.32,28693.92,28602.54,28664.66,1.003194986,91.38
2012,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,2980.4,2953.2,27.2,2486.8,493.6,MS,0,22360.24,,22354.65,,
2012,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,20741.5,16422.5,4319,17646.8,3094.7,ALL,0.2,25998.48,27662.86,26329.53,0.939833504,-1664.38
2012,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5918.4,3697.2,2221.2,5047.5,870.9,SS_VOS_K,0.33,28903.23,28808.02,28871.97,1.003305073,95.21
2012,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,5363.7,4584.8,778.9,4520.6,843.1,ZS_SEN_1,0.16,25833.45,25840.75,25834.62,0.999717449,-7.3
2013,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,3105.1,3082.3,22.8,2669.6,435.5,MS,0,22429.22,,22420.02,,
2013,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,20889.9,16660.5,4229.4,18153.8,2736.1,ALL,0.2,26055.4,27730.8,26386.26,0.939583375,-1675.4
2013,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5775.9,3647.6,2128.3,5005.6,770.3,SS_VOS_K,0.33,28900.4,28959.64,28919.72,0.997954352,-59.24
2013,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,5438.8,4650.9,787.9,4688.1,750.7,ZS_SEN_1,0.16,26037.84,25938.11,26021.9,1.003844958,99.73
2014,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,3292,3259,33,2831.7,460.3,MS,0.01,23002.43,,23037.79,,
2014,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,21268.4,16997.9,4270.5,18625.6,2642.8,ALL,0.19,26618.35,28291.66,26939.62,0.940855005,-1673.31
2014,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5654.1,3562.5,2091.6,5031.2,622.9,SS_VOS_K,0.34,29303.47,29053.43,29219.3,1.008606442,250.05
2014,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,5609.4,4780.2,829.2,4845,764.4,ZS_SEN_1,0.14,26885.11,26821.7,26875.92,1.002364041,63.41
2015,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,3451.2,3411.2,40,2995.8,455.4,MS,0.01,23002.43,,23037.79,,
2015,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,21797,17557.7,4239.3,19512.1,2284.9,ALL,0.19,26618.35,28291.66,26939.62,0.940855005,-1673.31
2015,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5583.9,3526.8,2057.1,5150,433.9,SS_VOS_K,0.34,29303.47,29053.43,29219.3,1.008606442,250.05
2015,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,5868.2,5016.5,851.7,5191.6,676.6,ZS_SEN_1,0.14,26885.11,26821.7,26875.92,1.002364041,63.41
2016,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,3522.9,3468.9,54,3195.6,327.3,MS,0.01,25123,,25230,,
2016,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,22491.4,18044.9,4446.5,20826.2,1665.2,ALL,0.19,29183,30890,29513,0.944739398,-1707
2016,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5638.4,3523.7,2114.7,5350.2,288.2,SS_VOS_K,0.34,32028,31676,31907,1.011112514,352
2016,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,6140.7,5219.4,921.3,5629.8,510.9,ZS_SEN_1,0.15,29724,29370,29672,1.012053115,354
2017,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,3544.1,3490.8,53.3,3290.9,253.2,PV_MS_PT,0.01,27269.06,33428.05,27333.22,0.815753751,-6158.99
2017,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,23006.9,18488.3,4518.6,21326.4,1680.5,ALL,0.2,31610.36,33337.86,31952.79,0.948181993,-1727.5
2017,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5652.3,3497.6,2154.7,5393.3,259,SS_K,0.37,34694.13,34367.63,34574.09,1.009500023,326.49
2017,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,6400.4,5457.9,942.5,5826.2,574.2,ZS_SEN_2,0.14,32232.35,31900.08,32184.55,1.010416114,332.27
2018,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,3648.5,3596.8,51.7,3377.4,271.1,PV_MS_PT,0.01,30975.5,31143.3,30976.7,0.994612003,-167.8
2018,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,23674.7,18926.4,4748.3,21763.1,1911.6,ALL,0.2,35450.5,36812.7,35726.8,0.962996466,-1362.2
2018,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5719.5,3536.5,2183,5446,273.5,SS_K,0.36,38322.2,37770.3,38121.4,1.01461201,551.9
2018,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,6655.4,5611.1,1044.3,5983.7,671.7,ZS_SEN_2,0.15,36282.6,35840.8,36215.9,1.012326734,441.8
2019,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,3746.1,3698.1,48,3446.1,300,PV_MS_PT,0.01,35356.2,33966.7,35346,1.040907713,1389.5
2019,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,24541.8,19555.1,4986.7,22371.9,2169.9,ALL,0.2,41984.6,42785.9,42141.7,0.981271868,-801.3
2019,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,5892.1,3622.5,2269.6,5602.2,289.9,SS_K,0.37,44125,43320.2,43824.5,1.018577938,804.8
2019,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,6964.5,5825.1,1139.4,6187.6,776.9,ZS_SEN_2,0.16,43233.3,42664.1,43141.1,1.013341428,569.2
2020,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,3821.2,3770.5,50.7,3477.4,343.8,PV_MS_PT,0.01,36724.1,36526.6,36722.3,1.005407018,197.5
