year,school_type,school_cluster_code,school_type_en,cznuts_cz,cznuts3,cznuts_en,men_percent,salary_women,salary_men,salary_total,salary_proportion_m_w,paygap_w_m
2023,MS,PV_MS_PT,Nursery School,Liberecký kraj,CZ051,Liberec Region,0,"39,444.10",,"39,436.30",,
2023,SS,SS_K,Upper-Secondary School,Liberecký kraj,CZ051,Liberec Region,0.42,"51,410.80","50,988.20","51,231.30",1.01,422.6
2023,Total,ALL,All Schools,Královéhradecký kraj,CZ052,Hradec Králové Region,0.22,"47,443.60","49,399.20","47,869.90",0.96,"-1,955.60"
2023,ZS,ZS_SEN_2,Basic School,Královéhradecký kraj,CZ052,Hradec Králové Region,0.15,"49,573.20","49,419.50","49,549.70",1,153.7
2023,MS,PV_MS_PT,Nursery School,Královéhradecký kraj,CZ052,Hradec Králové Region,0.01,"39,465.70","38,986.80","39,463.10",1.01,478.9
2023,SS,SS_K,Upper-Secondary School,Královéhradecký kraj,CZ052,Hradec Králové Region,0.43,"51,665.00","49,840.30","50,879.70",1.04,"1,824.70"
2023,Total,ALL,All Schools,Pardubický kraj,CZ053,Pardubice Region,0.21,"47,890.10","49,696.40","48,275.60",0.96,"-1,806.30"
2023,ZS,ZS_SEN_2,Basic School,Pardubický kraj,CZ053,Pardubice Region,0.14,"50,436.60","50,874.90","50,497.90",0.99,-438.3
2023,MS,PV_MS_PT,Nursery School,Pardubický kraj,CZ053,Pardubice Region,0.01,"39,562.40","41,407.20","39,580.40",0.96,"-1,844.80"
2023,SS,SS_K,Upper-Secondary School,Pardubický kraj,CZ053,Pardubice Region,0.43,"51,255.60","49,391.70","50,453.90",1.04,"1,863.90"
2023,Total,ALL,All Schools,Kraj Vysočina,CZ063,Vysočina Region,0.2,"47,004.80","50,684.00","47,755.50",0.93,"-3,679.20"
2023,ZS,ZS_SEN_2,Basic School,Kraj Vysočina,CZ063,Vysočina Region,0.15,"49,801.60","51,345.90","50,038.10",0.97,"-1,544.30"
2023,MS,PV_MS_PT,Nursery School,Kraj Vysočina,CZ063,Vysočina Region,0.01,"38,474.00","39,527.20","38,479.30",0.97,"-1,053.20"
2023,SS,SS_K,Upper-Secondary School,Kraj Vysočina,CZ063,Vysočina Region,0.48,"51,326.60","50,222.60","50,801.10",1.02,"1,104.00"
2023,Total,ALL,All Schools,Jihomoravský kraj,CZ064,South Moravian Region,0.2,"47,012.00","49,650.40","47,531.30",0.95,"-2,638.40"
2023,ZS,ZS_SEN_2,Basic School,Jihomoravský kraj,CZ064,South Moravian Region,0.16,"49,440.60","49,690.20","49,480.00",0.99,-249.6
2023,MS,PV_MS_PT,Nursery School,Jihomoravský kraj,CZ064,South Moravian Region,0.01,"39,363.30","45,580.00","39,400.20",0.86,"-6,216.70"
2023,SS,SS_K,Upper-Secondary School,Jihomoravský kraj,CZ064,South Moravian Region,0.41,"50,884.70","49,594.30","50,359.10",1.03,"1,290.40"
2023,Total,ALL,All Schools,Olomoucký kraj,CZ071,Olomouc Region,0.2,"46,966.40","49,118.90","47,400.80",0.96,"-2,152.50"
2023,ZS,ZS_SEN_2,Basic School,Olomoucký kraj,CZ071,Olomouc Region,0.15,"49,181.20","48,903.90","49,140.50",1.01,277.3
2023,MS,PV_MS_PT,Nursery School,Olomoucký kraj,CZ071,Olomouc Region,0.01,"39,001.80","40,014.30","39,007.60",0.97,"-1,012.50"
2023,SS,SS_K,Upper-Secondary School,Olomoucký kraj,CZ071,Olomouc Region,0.39,"50,565.20","48,843.10","49,887.10",1.04,"1,722.10"
2023,Total,ALL,All Schools,Zlínský kraj,CZ072,Zlín Region,0.21,"46,778.90","49,666.80","47,396.30",0.94,"-2,887.90"
2023,ZS,ZS_SEN_2,Basic School,Zlínský kraj,CZ072,Zlín Region,0.15,"48,915.20","49,197.20","48,956.80",0.99,-282
2023,MS,PV_MS_PT,Nursery School,Zlínský kraj,CZ072,Zlín Region,0.01,"38,640.30","42,360.00","38,688.10",0.91,"-3,719.70"
2023,SS,SS_K,Upper-Secondary School,Zlínský kraj,CZ072,Zlín Region,0.43,"51,457.10","50,302.20","50,964.10",1.02,"1,154.90"
2023,Total,ALL,All Schools,Moravskoslezský kraj,CZ080,Moravian-Silesian Region,0.19,"46,743.70","49,400.00","47,235.70",0.95,"-2,656.30"
2023,ZS,ZS_SEN_2,Basic School,Moravskoslezský kraj,CZ080,Moravian-Silesian Region,0.15,"48,811.80","49,089.10","48,852.70",0.99,-277.3
2023,MS,PV_MS_PT,Nursery School,Moravskoslezský kraj,CZ080,Moravian-Silesian Region,0.01,"39,005.60","39,300.30","39,007.40",0.99,-294.7
2023,SS,SS_K,Upper-Secondary School,Moravskoslezský kraj,CZ080,Moravian-Silesian Region,0.37,"51,355.90","49,993.40","50,852.40",1.03,"1,362.50"
2024,Total,ALL,All Schools,Česká republika,CZ0,Czech Republic,0.2,"48,376.70","50,896.50","48,881.20",0.95,"-2,519.80"
2024,ZS,ZS_SEN_2,Basic School,Česká republika,CZ0,Czech Republic,0.15,"50,584.50","50,678.00","50,598.50",1,-93.5
2024,MS,PV_MS_PT,Nursery School,Česká republika,CZ0,Czech Republic,0.01,"40,165.20","41,541.30","40,173.60",0.97,"-1,376.10"
2024,SS,SS_K,Upper-Secondary School,Česká republika,CZ0,Czech Republic,0.4,"52,768.90","51,248.00","52,154.10",1.03,"1,520.90"
2024,Total,ALL,All Schools,Hlavní město Praha,CZ010,Prague,0.22,"51,384.30","52,976.30","51,739.30",0.97,"-1,592.00"
2024,ZS,ZS_SEN_2,Basic School,Hlavní město Praha,CZ010,Prague,0.18,"53,408.80","52,665.70","53,275.50",1.01,743.1
2024,MS,PV_MS_PT,Nursery School,Hlavní město Praha,CZ010,Prague,0.01,"42,672.60","41,458.60","42,663.10",1.03,"1,214.00"
2024,SS,SS_K,Upper-Secondary School,Hlavní město Praha,CZ010,Prague,0.39,"55,987.20","53,723.80","55,106.80",1.04,"2,263.40"
2024,Total,ALL,All Schools,Středočeský kraj,CZ020,Central Bohemian Region,0.17,"48,829.90","51,747.70","49,336.40",0.94,"-2,917.80"
2024,ZS,ZS_SEN_2,Basic School,Středočeský kraj,CZ020,Central Bohemian Region,0.13,"51,538.10","51,144.00","51,485.90",1.01,394.1
2024,MS,PV_MS_PT,Nursery School,Středočeský kraj,CZ020,Central Bohemian Region,0.01,"40,265.60","47,670.80","40,305.10",0.84,"-7,405.20"
2024,SS,SS_K,Upper-Secondary School,Středočeský kraj,CZ020,Central Bohemian Region,0.38,"53,396.40","52,978.30","53,235.90",1.01,418.1
2024,Total,ALL,All Schools,Jihočeský kraj,CZ031,South Bohemian Region,0.21,"47,648.90","50,046.00","48,148.50",0.95,"-2,397.10"
2024,ZS,ZS_SEN_2,Basic School,Jihočeský kraj,CZ031,South Bohemian Region,0.15,"49,803.80","50,344.00","49,883.50",0.99,-540.2
2024,MS,PV_MS_PT,Nursery School,Jihočeský kraj,CZ031,South Bohemian Region,0,"40,452.80","36,554.50","40,434.00",1.11,"3,898.30"
2024,SS,SS_K,Upper-Secondary School,Jihočeský kraj,CZ031,South Bohemian Region,0.42,"50,850.50","50,171.60","50,567.20",1.01,678.9
2024,Total,ALL,All Schools,Plzeňský kraj,CZ032,Plzeň Region,0.2,"48,794.70","50,724.90","49,187.60",0.96,"-1,930.20"
2024,ZS,ZS_SEN_2,Basic School,Plzeňský kraj,CZ032,Plzeň Region,0.14,"51,007.80","51,875.40","51,130.80",0.98,-867.6
2024,MS,PV_MS_PT,Nursery School,Plzeňský kraj,CZ032,Plzeň Region,0.01,"40,518.90","40,568.80","40,519.30",1,-49.9
2024,SS,SS_K,Upper-Secondary School,Plzeňský kraj,CZ032,Plzeň Region,0.41,"52,999.40","49,707.00","51,645.70",1.07,"3,292.40"
2024,Total,ALL,All Schools,Karlovarský kraj,CZ041,Karlovy Vary Region,0.2,"48,927.60","51,714.90","49,481.80",0.95,"-2,787.30"
2024,ZS,ZS_SEN_2,Basic School,Karlovarský kraj,CZ041,Karlovy Vary Region,0.15,"50,416.20","50,625.40","50,448.60",1,-209.2
2024,MS,PV_MS_PT,Nursery School,Karlovarský kraj,CZ041,Karlovy Vary Region,0.01,"40,269.20",,"40,301.90",,
2024,SS,SS_K,Upper-Secondary School,Karlovarský kraj,CZ041,Karlovy Vary Region,0.37,"54,245.30","51,730.40","53,319.70",1.05,"2,514.90"
2024,Total,ALL,All Schools,Ústecký kraj,CZ042,Ústí nad Labem Region,0.2,"47,852.30","49,192.70","48,119.20",0.97,"-1,340.40"
2024,ZS,ZS_SEN_2,Basic School,Ústecký kraj,CZ042,Ústí nad Labem Region,0.15,"50,308.40","49,280.30","50,154.30",1.02,"1,028.10"
2024,MS,PV_MS_PT,Nursery School,Ústecký kraj,CZ042,Ústí nad Labem Region,0,"39,319.10",,"39,346.60",,
2024,SS,SS_K,Upper-Secondary School,Ústecký kraj,CZ042,Ústí nad Labem Region,0.4,"51,148.70","49,277.10","50,401.80",1.04,"1,871.60"
2024,Total,ALL,All Schools,Liberecký kraj,CZ051,Liberec Region,0.19,"47,878.00","50,835.30","48,442.50",0.94,"-2,957.30"
2024,ZS,ZS_SEN_2,Basic School,Liberecký kraj,CZ051,Liberec Region,0.14,"50,341.80","50,186.30","50,320.10",1,155.5
2024,MS,PV_MS_PT,Nursery School,Liberecký kraj,CZ051,Liberec Region,0,"39,747.00","35,087.70","39,724.60",1.13,"4,659.30"
2024,SS,SS_K,Upper-Secondary School,Liberecký kraj,CZ051,Liberec Region,0.42,"52,006.80","51,735.60","51,893.10",1.01,271.2
